Sensor	Output	Time
0 0 6645
0 0 6646
0 0 6647
0 0 6648
0 0 6649
0 0 6649
0 0 6650
0 0 6651
0 0 6652
0 0 6653
0 0 6654
0 0 6654
0 0 6656
0 0 6657
0 0 6658
0 0 6659
0 0 6660
0 0 6660
0 0 6661
0 0 6662
0 0 6663
0 0 6664
0 0 6665
0 0 6665
0 0 6666
0 0 6667
0 0 6668
0 0 6669
0 0 6669
0 0 6670
0 0 6671
0 0 6672
0 0 6673
0 0 6674
0 0 6674
0 0 6675
0 0 6676
0 0 6677
0 0 6678
0 0 6679
0 0 6679
0 0 6680
0 0 6681
0 0 6682
0 0 6683
0 0 6684
0 0 6684
0 0 6685
0 0 6686
0 0 6687
0 0 6688
0 0 6689
0 0 6689
0 0 6690
0 0 6691
0 0 6692
0 0 6693
0 0 6694
0 0 6694
0 0 6695
0 0 6696
0 0 6697
0 0 6699
0 0 6700
0 0 6700
0 0 6701
0 0 6702
0 0 6703
0 0 6704
0 0 6705
0 0 6705
0 0 6706
0 0 6707
0 0 6708
0 0 6709
0 0 6709
0 0 6710
0 0 6711
0 0 6712
0 0 6713
0 0 6714
0 0 6714
0 0 6715
0 0 6716
0 0 6717
0 0 6718
0 0 6719
0 0 6719
0 0 6720
0 0 6721
0 0 6722
0 0 6723
0 0 6724
0 0 6724
0 0 6725
0 0 6726
0 0 6727
0 0 6728
0 0 6729
0 0 6729
0 0 6730
0 0 6731
0 0 6732
0 0 6733
0 0 6734
0 0 6734
0 0 6735
0 0 6736
0 0 6737
0 0 6738
0 0 6739
0 0 6739
0 0 6740
0 0 6742
0 0 6743
0 0 6744
0 0 6745
0 0 6745
0 0 6746
0 0 6747
0 0 6748
0 0 6749
0 0 6750
0 0 6750
0 0 6751
0 0 6752
0 0 6753
0 0 6754
0 0 6754
0 0 6755
0 0 6756
0 0 6757
0 0 6758
0 0 6759
0 0 6759
0 0 6760
0 0 6761
0 0 6762
0 0 6763
0 0 6764
0 0 6764
0 0 6765
0 0 6766
0 0 6767
0 0 6768
0 0 6769
0 0 6769
1 0 6770
852 212 6771
1023 255 6772
1023 255 6773
1023 255 6775
1023 255 6776
1023 255 6777
1023 255 6778
1022 254 6780
1023 255 6781
1023 255 6782
1023 255 6784
1023 255 6786
1023 255 6787
1023 255 6788
1023 255 6789
1023 255 6791
1023 255 6792
1023 255 6793
1023 255 6794
1023 255 6796
1023 255 6797
1023 255 6798
1023 255 6799
1023 255 6801
1023 255 6802
1023 255 6803
1023 255 6804
1023 255 6806
1023 255 6807
1023 255 6808
1020 254 6809
1023 255 6811
1023 255 6812
1023 255 6813
1023 255 6814
1023 255 6816
1023 255 6817
1023 255 6818
1023 255 6819
1023 255 6821
1023 255 6822
1023 255 6823
1023 255 6824
1023 255 6827
1023 255 6828
1023 255 6829
1023 255 6830
1022 254 6832
1023 255 6833
1023 255 6834
1023 255 6835
1023 255 6837
1023 255 6838
1023 255 6839
1023 255 6840
1023 255 6841
1023 255 6843
1023 255 6844
1023 255 6845
1023 255 6846
1023 255 6848
1023 255 6849
1023 255 6850
1023 255 6851
1023 255 6853
1023 255 6854
1023 255 6855
1023 255 6856
1023 255 6858
1022 254 6859
1023 255 6860
1023 255 6861
1023 255 6863
1023 255 6864
1023 255 6865
1023 255 6866
1023 255 6868
1023 255 6870
1021 254 6871
1023 255 6872
1023 255 6874
1023 255 6875
1023 255 6876
1023 255 6877
1023 255 6879
1023 255 6880
1023 255 6881
1023 255 6882
1023 255 6884
1023 255 6885
1023 255 6886
1023 255 6887
1023 255 6889
1023 255 6890
1023 255 6891
1023 255 6892
1023 255 6894
1023 255 6895
1023 255 6896
1023 255 6897
1023 255 6899
1023 255 6900
1023 255 6901
1023 255 6902
1023 255 6904
1022 254 6905
1023 255 6906
1023 255 6907
1023 255 6908
1023 255 6910
1023 255 6912
1023 255 6913
1023 255 6914
1023 255 6916
1023 255 6917
1021 254 6918
1023 255 6919
1023 255 6921
1023 255 6922
1023 255 6923
1023 255 6924
1023 255 6926
1023 255 6927
1023 255 6928
1023 255 6929
1023 255 6931
1023 255 6932
1023 255 6933
1023 255 6934
1023 255 6936
1022 254 6937
1023 255 6938
1023 255 6939
1023 255 6941
1023 255 6942
1023 255 6943
1023 255 6944
1023 255 6946
1023 255 6947
1023 255 6948
1023 255 6949
1023 255 6951
1023 255 6952
1023 255 6953
1023 255 6955
1023 255 6957
1023 255 6958
501 124 6959
4 0 6960
0 0 6961
0 0 6962
0 0 6963
0 0 6964
0 0 6964
0 0 6965
0 0 6966
0 0 6967
0 0 6968
0 0 6969
0 0 6969
0 0 6970
0 0 6971
0 0 6972
0 0 6973
0 0 6973
0 0 6974
0 0 6975
0 0 6976
0 0 6977
0 0 6978
0 0 6978
0 0 6979
0 0 6980
0 0 6981
0 0 6982
0 0 6983
0 0 6983
0 0 6984
0 0 6985
0 0 6986
0 0 6987
0 0 6988
